title,link,original,sale,discount,currency,date,time
rds - the official drift videogame,https://store.steampowered.com/app/934930/RDS__The_Official_Drift_Videogame/?snr=1_7_7_2300_150_7,17.99,11.33,37,USD,2020-04-25,14:50:26.927414
year walk,https://store.steampowered.com/app/269050/Year_Walk/?snr=1_7_7_2300_150_7,5.99,2.99,50,USD,2020-04-25,14:50:26.928413
wild guns reloaded,https://store.steampowered.com/app/585910/Wild_Guns_Reloaded/?snr=1_7_7_2300_150_7,14.99,7.49,50,USD,2020-04-25,14:50:26.928413
whispers of a machine,https://store.steampowered.com/app/631570/Whispers_of_a_Machine/?snr=1_7_7_2300_150_7,14.99,8.99,40,USD,2020-04-25,14:50:26.929411
niffelheim,https://store.steampowered.com/app/351100/Niffelheim/?snr=1_7_7_2300_150_7,19.99,2.99,85,USD,2020-04-25,14:50:26.930412
eliza,https://store.steampowered.com/app/716500/Eliza/?snr=1_7_7_2300_150_7,14.99,11.24,25,USD,2020-04-25,14:50:26.931451
narcosis,https://store.steampowered.com/app/366870/Narcosis/?snr=1_7_7_2300_150_7,14.99,3.74,75,USD,2020-04-25,14:50:26.931451
senren＊banka,https://store.steampowered.com/app/1144400/SenrenBanka/?snr=1_7_7_2300_150_7,34.99,31.49,10,USD,2020-04-25,14:50:26.932415
garfield kart - furious racing,https://store.steampowered.com/app/1085510/Garfield_Kart__Furious_Racing/?snr=1_7_7_2300_150_7,14.99,6.89,54,USD,2020-04-25,14:50:26.932415
bladed fury,https://store.steampowered.com/app/927250/Bladed_Fury/?snr=1_7_7_2300_150_7,9.99,5.99,40,USD,2020-04-25,14:50:26.933414
interrogation: you will be deceived,https://store.steampowered.com/app/1016770/Interrogation_You_will_be_deceived/?snr=1_7_7_2300_150_7,12.99,8.44,35,USD,2020-04-25,14:50:26.934414
crazy machines 3,https://store.steampowered.com/app/351920/Crazy_Machines_3/?snr=1_7_7_2300_150_7,9.99,0.99,90,USD,2020-04-25,14:50:26.935413
frog detective 2: the case of the invisible wizard,https://store.steampowered.com/app/1047220/Frog_Detective_2_The_Case_of_the_Invisible_Wizard/?snr=1_7_7_2300_150_7,4.99,4.49,10,USD,2020-04-25,14:50:26.935413
trainz: a new era,https://store.steampowered.com/app/315660/Trainz_A_New_Era/?snr=1_7_7_2300_150_7,19.99,1.99,90,USD,2020-04-25,14:50:26.936413
life is feudal: your own,https://store.steampowered.com/app/290080/Life_is_Feudal_Your_Own/?snr=1_7_7_2300_150_7,19.99,5.99,70,USD,2020-04-25,14:50:26.937412
masquerada: songs and shadows,https://store.steampowered.com/app/459090/Masquerada_Songs_and_Shadows/?snr=1_7_7_2300_150_7,19.99,7.99,60,USD,2020-04-25,14:50:26.937412
syberia 3,https://store.steampowered.com/app/464340/Syberia_3/?snr=1_7_7_2300_150_7,29.99,4.79,84,USD,2020-04-25,14:50:26.938411
